rc13,rc13desc,year,age_grp_mother,sex,count
01,Northland Region,1997,15–19,Female,105
01,Northland Region,1997,15–19,Male,123
01,Northland Region,1997,20–24,Female,270
01,Northland Region,1997,20–24,Male,258
01,Northland Region,1997,25–29,Female,327
01,Northland Region,1997,25–29,Male,327
01,Northland Region,1997,30–34,Female,243
01,Northland Region,1997,30–34,Male,267
01,Northland Region,1997,35–39,Female,102
01,Northland Region,1997,35–39,Male,102
01,Northland Region,1997,40–44,Female,21
01,Northland Region,1997,40–44,Male,12
01,Northland Region,1997,45–49,Female,3
01,Northland Region,1997,45–49,Male,0
01,Northland Region,1998,15–19,Female,99
01,Northland Region,1998,15–19,Male,114
01,Northland Region,1998,20–24,Female,240
01,Northland Region,1998,20–24,Male,261
01,Northland Region,1998,25–29,Female,312
01,Northland Region,1998,25–29,Male,333
01,Northland Region,1998,30–34,Female,285
01,Northland Region,1998,30–34,Male,276
01,Northland Region,1998,35–39,Female,135
01,Northland Region,1998,35–39,Male,126
01,Northland Region,1998,40–44,Female,33
01,Northland Region,1998,40–44,Male,30
01,Northland Region,1998,45–49,Female,3
01,Northland Region,1998,45–49,Male,0
01,Northland Region,1999,15–19,Female,117
01,Northland Region,1999,15–19,Male,108
01,Northland Region,1999,20–24,Female,219
01,Northland Region,1999,20–24,Male,264
01,Northland Region,1999,25–29,Female,285
01,Northland Region,1999,25–29,Male,306
01,Northland Region,1999,30–34,Female,261
01,Northland Region,1999,30–34,Male,279
01,Northland Region,1999,35–39,Female,123
01,Northland Region,1999,35–39,Male,129
01,Northland Region,1999,40–44,Female,27
01,Northland Region,1999,40–44,Male,27
01,Northland Region,1999,45–49,Female,3
01,Northland Region,1999,45–49,Male,3
01,Northland Region,2000,15–19,Female,102
01,Northland Region,2000,15–19,Male,114
01,Northland Region,2000,20–24,Female,195
01,Northland Region,2000,20–24,Male,264
01,Northland Region,2000,25–29,Female,291
01,Northland Region,2000,25–29,Male,315
01,Northland Region,2000,30–34,Female,306
01,Northland Region,2000,30–34,Male,282
01,Northland Region,2000,35–39,Female,159
01,Northland Region,2000,35–39,Male,141
01,Northland Region,2000,40–44,Female,24
01,Northland Region,2000,40–44,Male,24
01,Northland Region,2000,45–49,Female,3
01,Northland Region,2001,15–19,Female,90
01,Northland Region,2001,15–19,Male,102
01,Northland Region,2001,20–24,Female,219
01,Northland Region,2001,20–24,Male,207
01,Northland Region,2001,25–29,Female,258
01,Northland Region,2001,25–29,Male,294
01,Northland Region,2001,30–34,Female,261
01,Northland Region,2001,30–34,Male,255
01,Northland Region,2001,35–39,Female,126
01,Northland Region,2001,35–39,Male,144
01,Northland Region,2001,40–44,Female,30
01,Northland Region,2001,40–44,Male,24
01,Northland Region,2001,45–49,Female,3
01,Northland Region,2001,45–49,Male,0
01,Northland Region,2002,15–19,Female,99
01,Northland Region,2002,15–19,Male,96
01,Northland Region,2002,20–24,Female,189
01,Northland Region,2002,20–24,Male,228
01,Northland Region,2002,25–29,Female,264
01,Northland Region,2002,25–29,Male,273
01,Northland Region,2002,30–34,Female,264
01,Northland Region,2002,30–34,Male,267
01,Northland Region,2002,35–39,Female,117
01,Northland Region,2002,35–39,Male,138
01,Northland Region,2002,40–44,Female,24
01,Northland Region,2002,40–44,Male,30
01,Northland Region,2002,45–49,Female,0
01,Northland Region,2002,45–49,Male,3
01,Northland Region,2003,15–19,Female,96
01,Northland Region,2003,15–19,Male,90
01,Northland Region,2003,20–24,Female,198
01,Northland Region,2003,20–24,Male,204
01,Northland Region,2003,25–29,Female,246
01,Northland Region,2003,25–29,Male,255
01,Northland Region,2003,30–34,Female,225
01,Northland Region,2003,30–34,Male,234
01,Northland Region,2003,35–39,Female,153
01,Northland Region,2003,35–39,Male,144
01,Northland Region,2003,40–44,Female,42
01,Northland Region,2003,40–44,Male,36
01,Northland Region,2003,45–49,Female,3
01,Northland Region,2003,45–49,Male,0
01,Northland Region,2004,15–19,Female,111
01,Northland Region,2004,15–19,Male,126
01,Northland Region,2004,20–24,Female,225
01,Northland Region,2004,20–24,Male,228
01,Northland Region,2004,25–29,Female,258
01,Northland Region,2004,25–29,Male,276
01,Northland Region,2004,30–34,Female,252
01,Northland Region,2004,30–34,Male,249
01,Northland Region,2004,35–39,Female,132
01,Northland Region,2004,35–39,Male,150
01,Northland Region,2004,40–44,Female,48
01,Northland Region,2004,40–44,Male,39
01,Northland Region,2004,45–49,Male,6
01,Northland Region,2005,15–19,Female,111
01,Northland Region,2005,15–19,Male,120
01,Northland Region,2005,20–24,Female,243
01,Northland Region,2005,20–24,Male,207
01,Northland Region,2005,25–29,Female,243
01,Northland Region,2005,25–29,Male,243
01,Northland Region,2005,30–34,Female,300
01,Northland Region,2005,30–34,Male,291
01,Northland Region,2005,35–39,Female,144
01,Northland Region,2005,35–39,Male,126
01,Northland Region,2005,40–44,Female,36
01,Northland Region,2005,40–44,Male,36
01,Northland Region,2005,45–49,Male,0
01,Northland Region,2006,15–19,Female,114
01,Northland Region,2006,15–19,Male,129
01,Northland Region,2006,20–24,Female,213
01,Northland Region,2006,20–24,Male,210
01,Northland Region,2006,25–29,Female,246
01,Northland Region,2006,25–29,Male,270
01,Northland Region,2006,30–34,Female,285
01,Northland Region,2006,30–34,Male,276
01,Northland Region,2006,35–39,Female,135
01,Northland Region,2006,35–39,Male,165
01,Northland Region,2006,40–44,Female,36
01,Northland Region,2006,40–44,Male,36
01,Northland Region,2006,45–49,Female,3
01,Northland Region,2006,45–49,Male,0
