year,rc13,rc13desc,age_grp,sex,count
1997,01,Northland Region,00–04,Female,18
1997,01,Northland Region,00–04,Male,24
1997,01,Northland Region,05-09,Female,3
1997,01,Northland Region,10-14,Female,3
1997,01,Northland Region,10-14,Male,0
1997,01,Northland Region,15-19,Female,0
1997,01,Northland Region,15-19,Male,12
1997,01,Northland Region,20–24,Female,3
1997,01,Northland Region,20–24,Male,9
1997,01,Northland Region,25–29,Female,6
1997,01,Northland Region,25–29,Male,3
1997,01,Northland Region,30–34,Female,3
1997,01,Northland Region,30–34,Male,9
1997,01,Northland Region,35–39,Female,9
1997,01,Northland Region,35–39,Male,9
1997,01,Northland Region,40–44,Female,6
1997,01,Northland Region,40–44,Male,6
1997,01,Northland Region,45–49,Female,6
1997,01,Northland Region,45–49,Male,18
1997,01,Northland Region,50–54,Female,15
1997,01,Northland Region,50–54,Male,24
1997,01,Northland Region,55–59,Female,24
1997,01,Northland Region,55–59,Male,33
1997,01,Northland Region,60–64,Female,39
1997,01,Northland Region,60–64,Male,51
1997,01,Northland Region,65–69,Female,42
1997,01,Northland Region,65–69,Male,63
1997,01,Northland Region,70–74,Female,60
1997,01,Northland Region,70–74,Male,99
1997,01,Northland Region,75–79,Female,60
1997,01,Northland Region,75–79,Male,72
1997,01,Northland Region,80–84,Female,81
1997,01,Northland Region,80–84,Male,81
1997,01,Northland Region,85–89,Female,72
1997,01,Northland Region,85–89,Male,51
1997,01,Northland Region,90+,Female,54
1997,01,Northland Region,90+,Male,30
1997,02,Auckland Region,00–04,Female,69
1997,02,Auckland Region,00–04,Male,90
1997,02,Auckland Region,05-09,Female,9
1997,02,Auckland Region,05-09,Male,12
1997,02,Auckland Region,10-14,Female,9
1997,02,Auckland Region,10-14,Male,6
1997,02,Auckland Region,15-19,Female,24
1997,02,Auckland Region,15-19,Male,39
1997,02,Auckland Region,20–24,Female,21
1997,02,Auckland Region,20–24,Male,66
1997,02,Auckland Region,25–29,Female,24
1997,02,Auckland Region,25–29,Male,63
1997,02,Auckland Region,30–34,Female,30
1997,02,Auckland Region,30–34,Male,60
1997,02,Auckland Region,35–39,Female,30
1997,02,Auckland Region,35–39,Male,66
1997,02,Auckland Region,40–44,Female,45
1997,02,Auckland Region,40–44,Male,60
1997,02,Auckland Region,45–49,Female,93
1997,02,Auckland Region,45–49,Male,102
1997,02,Auckland Region,50–54,Female,78
1997,02,Auckland Region,50–54,Male,159
1997,02,Auckland Region,55–59,Female,138
1997,02,Auckland Region,55–59,Male,183
1997,02,Auckland Region,60–64,Female,147
1997,02,Auckland Region,60–64,Male,231
1997,02,Auckland Region,65–69,Female,243
1997,02,Auckland Region,65–69,Male,357
1997,02,Auckland Region,70–74,Female,342
1997,02,Auckland Region,70–74,Male,498
1997,02,Auckland Region,75–79,Female,444
1997,02,Auckland Region,75–79,Male,510
1997,02,Auckland Region,80–84,Female,663
1997,02,Auckland Region,80–84,Male,558
1997,02,Auckland Region,85–89,Female,561
1997,02,Auckland Region,85–89,Male,396
1997,02,Auckland Region,90+,Female,624
1997,02,Auckland Region,90+,Male,234
1997,03,Waikato Region,00–04,Female,30
1997,03,Waikato Region,00–04,Male,36
1997,03,Waikato Region,05-09,Female,0
1997,03,Waikato Region,05-09,Male,3
1997,03,Waikato Region,10-14,Female,6
1997,03,Waikato Region,10-14,Male,3
1997,03,Waikato Region,15-19,Female,9
1997,03,Waikato Region,15-19,Male,24
1997,03,Waikato Region,20–24,Female,6
1997,03,Waikato Region,20–24,Male,24
1997,03,Waikato Region,25–29,Female,9
1997,03,Waikato Region,25–29,Male,21
1997,03,Waikato Region,30–34,Female,12
1997,03,Waikato Region,30–34,Male,21
1997,03,Waikato Region,35–39,Female,15
1997,03,Waikato Region,35–39,Male,24
1997,03,Waikato Region,40–44,Female,18
1997,03,Waikato Region,40–44,Male,27
1997,03,Waikato Region,45–49,Female,33
1997,03,Waikato Region,45–49,Male,39
1997,03,Waikato Region,50–54,Female,30
1997,03,Waikato Region,50–54,Male,63
1997,03,Waikato Region,55–59,Female,54
1997,03,Waikato Region,55–59,Male,60
1997,03,Waikato Region,60–64,Female,42
1997,03,Waikato Region,60–64,Male,93
1997,03,Waikato Region,65–69,Female,87
1997,03,Waikato Region,65–69,Male,171
1997,03,Waikato Region,70–74,Female,129
1997,03,Waikato Region,70–74,Male,183
1997,03,Waikato Region,75–79,Female,144
1997,03,Waikato Region,75–79,Male,165
1997,03,Waikato Region,80–84,Female,168
1997,03,Waikato Region,80–84,Male,204
1997,03,Waikato Region,85–89,Female,174
1997,03,Waikato Region,85–89,Male,141
1997,03,Waikato Region,90+,Female,153
1997,03,Waikato Region,90+,Male,72
1997,04,Bay of Plenty Region,00–04,Female,9
1997,04,Bay of Plenty Region,00–04,Male,18
1997,04,Bay of Plenty Region,05-09,Male,3
1997,04,Bay of Plenty Region,10-14,Female,3
1997,04,Bay of Plenty Region,10-14,Male,6
1997,04,Bay of Plenty Region,15-19,Female,6
1997,04,Bay of Plenty Region,15-19,Male,18
1997,04,Bay of Plenty Region,20–24,Female,6
1997,04,Bay of Plenty Region,20–24,Male,6
1997,04,Bay of Plenty Region,25–29,Female,6
1997,04,Bay of Plenty Region,25–29,Male,21
1997,04,Bay of Plenty Region,30–34,Female,6
1997,04,Bay of Plenty Region,30–34,Male,15
1997,04,Bay of Plenty Region,35–39,Female,9
1997,04,Bay of Plenty Region,35–39,Male,21
1997,04,Bay of Plenty Region,40–44,Female,15
1997,04,Bay of Plenty Region,40–44,Male,21
1997,04,Bay of Plenty Region,45–49,Female,24
1997,04,Bay of Plenty Region,45–49,Male,27
1997,04,Bay of Plenty Region,50–54,Female,27
1997,04,Bay of Plenty Region,50–54,Male,48
1997,04,Bay of Plenty Region,55–59,Female,33
1997,04,Bay of Plenty Region,55–59,Male,45
1997,04,Bay of Plenty Region,60–64,Female,33
1997,04,Bay of Plenty Region,60–64,Male,84
1997,04,Bay of Plenty Region,65–69,Female,72
1997,04,Bay of Plenty Region,65–69,Male,114
1997,04,Bay of Plenty Region,70–74,Female,102
1997,04,Bay of Plenty Region,70–74,Male,141
1997,04,Bay of Plenty Region,75–79,Female,111
1997,04,Bay of Plenty Region,75–79,Male,153
1997,04,Bay of Plenty Region,80–84,Female,135
1997,04,Bay of Plenty Region,80–84,Male,147
1997,04,Bay of Plenty Region,85–89,Female,141
1997,04,Bay of Plenty Region,85–89,Male,96
1997,04,Bay of Plenty Region,90+,Female,132
1997,04,Bay of Plenty Region,90+,Male,60
1997,05,Gisborne Region,00–04,Female,6
1997,05,Gisborne Region,00–04,Male,3
1997,05,Gisborne Region,05-09,Male,0
1997,05,Gisborne Region,10-14,Female,0
1997,05,Gisborne Region,10-14,Male,0
1997,05,Gisborne Region,15-19,Male,0
1997,05,Gisborne Region,20–24,Male,6
1997,05,Gisborne Region,25–29,Female,3
1997,05,Gisborne Region,25–29,Male,0
1997,05,Gisborne Region,30–34,Female,3
1997,05,Gisborne Region,30–34,Male,6
1997,05,Gisborne Region,35–39,Female,6
1997,05,Gisborne Region,35–39,Male,6
1997,05,Gisborne Region,40–44,Female,0
1997,05,Gisborne Region,40–44,Male,3
1997,05,Gisborne Region,45–49,Female,3
1997,05,Gisborne Region,45–49,Male,9
1997,05,Gisborne Region,50–54,Female,6
1997,05,Gisborne Region,50–54,Male,6
1997,05,Gisborne Region,55–59,Female,6
1997,05,Gisborne Region,55–59,Male,9
1997,05,Gisborne Region,60–64,Female,18
1997,05,Gisborne Region,60–64,Male,21
1997,05,Gisborne Region,65–69,Female,15
1997,05,Gisborne Region,65–69,Male,24
1997,05,Gisborne Region,70–74,Female,18
1997,05,Gisborne Region,70–74,Male,30
1997,05,Gisborne Region,75–79,Female,27
1997,05,Gisborne Region,75–79,Male,36
1997,05,Gisborne Region,80–84,Female,30
1997,05,Gisborne Region,80–84,Male,30
1997,05,Gisborne Region,85–89,Female,30
1997,05,Gisborne Region,85–89,Male,18
1997,05,Gisborne Region,90+,Female,27
1997,05,Gisborne Region,90+,Male,9
1997,06,Hawke's Bay Region,00–04,Female,12
1997,06,Hawke's Bay Region,00–04,Male,12
1997,06,Hawke's Bay Region,05-09,Male,3
1997,06,Hawke's Bay Region,10-14,Female,0
1997,06,Hawke's Bay Region,15-19,Female,3
1997,06,Hawke's Bay Region,15-19,Male,6
1997,06,Hawke's Bay Region,20–24,Female,3
1997,06,Hawke's Bay Region,20–24,Male,12
1997,06,Hawke's Bay Region,25–29,Female,3
1997,06,Hawke's Bay Region,25–29,Male,12
1997,06,Hawke's Bay Region,30–34,Female,3
1997,06,Hawke's Bay Region,30–34,Male,12
1997,06,Hawke's Bay Region,35–39,Female,3
1997,06,Hawke's Bay Region,35–39,Male,3
1997,06,Hawke's Bay Region,40–44,Female,12
1997,06,Hawke's Bay Region,40–44,Male,15
1997,06,Hawke's Bay Region,45–49,Female,9
1997,06,Hawke's Bay Region,45–49,Male,18
1997,06,Hawke's Bay Region,50–54,Female,24
1997,06,Hawke's Bay Region,50–54,Male,18
1997,06,Hawke's Bay Region,55–59,Female,33
1997,06,Hawke's Bay Region,55–59,Male,33
1997,06,Hawke's Bay Region,60–64,Female,27
1997,06,Hawke's Bay Region,60–64,Male,39
1997,06,Hawke's Bay Region,65–69,Female,45
1997,06,Hawke's Bay Region,65–69,Male,66
1997,06,Hawke's Bay Region,70–74,Female,66
1997,06,Hawke's Bay Region,70–74,Male,87
1997,06,Hawke's Bay Region,75–79,Female,75
