year,sex,age,idierp
2007,Female,0,30066
2007,Female,1,28680
2007,Female,2,27936
2007,Female,3,28191
2007,Female,4,27489
2007,Female,5,27807
2007,Female,6,28617
2007,Female,7,28989
2007,Female,8,28251
2007,Female,9,29091
2007,Female,10,29007
2007,Female,11,29121
2007,Female,12,29892
2007,Female,13,30033
2007,Female,14,30627
2007,Female,15,31080
2007,Female,16,32142
2007,Female,17,31830
2007,Female,18,30699
2007,Female,19,30189
2007,Female,20,28860
2007,Female,21,28860
2007,Female,22,28470
2007,Female,23,28344
2007,Female,24,28155
2007,Female,25,27261
2007,Female,26,26646
2007,Female,27,26712
2007,Female,28,26898
2007,Female,29,26262
2007,Female,30,26895
2007,Female,31,27258
2007,Female,32,28698
2007,Female,33,30120
2007,Female,34,31248
2007,Female,35,32937
2007,Female,36,33330
2007,Female,37,32430
2007,Female,38,32850
2007,Female,39,32682
2007,Female,40,32616
2007,Female,41,32157
2007,Female,42,32952
2007,Female,43,34428
2007,Female,44,35130
2007,Female,45,35172
2007,Female,46,34287
2007,Female,47,32640
2007,Female,48,32229
2007,Female,49,30561
2007,Female,50,29751
2007,Female,51,29010
2007,Female,52,27876
2007,Female,53,27330
2007,Female,54,25941
2007,Female,55,25665
2007,Female,56,24990
2007,Female,57,25158
2007,Female,58,24327
2007,Female,59,24690
2007,Female,60,24768
2007,Female,61,20811
2007,Female,62,19782
2007,Female,63,18720
2007,Female,64,16968
2007,Female,65,19440
2007,Female,66,18882
2007,Female,67,17328
2007,Female,68,16023
2007,Female,69,15198
2007,Female,70,14502
2007,Female,71,13749
2007,Female,72,12957
2007,Female,73,12648
2007,Female,74,12552
2007,Female,75,12237
2007,Female,76,12279
2007,Female,77,11643
2007,Female,78,10947
2007,Female,79,10722
2007,Female,80,10056
2007,Female,81,9645
2007,Female,82,9288
2007,Female,83,8403
2007,Female,84,7638
2007,Female,85,7338
2007,Female,86,6534
2007,Female,87,5688
2007,Female,88,4104
2007,Female,89,3726
2007,Female,90,14529
2007,Male,0,31854
2007,Male,1,29994
2007,Male,2,29430
2007,Male,3,29499
2007,Male,4,29076
2007,Male,5,28812
2007,Male,6,29994
2007,Male,7,30519
2007,Male,8,29877
2007,Male,9,30693
2007,Male,10,30510
2007,Male,11,31332
2007,Male,12,31671
2007,Male,13,31860
2007,Male,14,32544
2007,Male,15,33147
2007,Male,16,33891
2007,Male,17,32961
2007,Male,18,32226
2007,Male,19,31698
2007,Male,20,30693
2007,Male,21,29742
2007,Male,22,29496
2007,Male,23,29646
2007,Male,24,29289
2007,Male,25,28191
2007,Male,26,27630
2007,Male,27,26751
2007,Male,28,26223
2007,Male,29,25623
2007,Male,30,26412
2007,Male,31,26310
2007,Male,32,27468
2007,Male,33,28695
2007,Male,34,29922
2007,Male,35,31380
