census_year,rc13,rc13desc,sex,age_grp,ur5_rc13,ur5_rc13desc,count
1996,01,Northland Region,Female,05-09,,,00471
1996,01,Northland Region,Female,05-09,01,Northland Region,04401
1996,01,Northland Region,Female,05-09,02,Auckland Region,00615
1996,01,Northland Region,Female,05-09,03,Waikato Region,00168
1996,01,Northland Region,Female,05-09,04,Bay of Plenty Region,00078
1996,01,Northland Region,Female,05-09,05,Gisborne Region,00012
1996,01,Northland Region,Female,05-09,06,Hawke's Bay Region,00027
1996,01,Northland Region,Female,05-09,07,Taranaki Region,00024
1996,01,Northland Region,Female,05-09,08,Manawatu-Wanganui Region,00042
1996,01,Northland Region,Female,05-09,09,Wellington Region,00048
1996,01,Northland Region,Female,05-09,12,West Coast Region,..C
1996,01,Northland Region,Female,05-09,13,Canterbury Region,00030
1996,01,Northland Region,Female,05-09,14,Otago Region,00012
1996,01,Northland Region,Female,05-09,15,Southland Region,00012
1996,01,Northland Region,Female,05-09,16,Tasman Region,..C
1996,01,Northland Region,Female,05-09,17,Nelson Region,..C
1996,01,Northland Region,Female,05-09,18,Marlborough Region,..C
1996,01,Northland Region,Female,10-14,,,00372
1996,01,Northland Region,Female,10-14,01,Northland Region,04197
1996,01,Northland Region,Female,10-14,02,Auckland Region,00453
1996,01,Northland Region,Female,10-14,03,Waikato Region,00126
1996,01,Northland Region,Female,10-14,04,Bay of Plenty Region,00048
1996,01,Northland Region,Female,10-14,05,Gisborne Region,00012
1996,01,Northland Region,Female,10-14,06,Hawke's Bay Region,00030
1996,01,Northland Region,Female,10-14,07,Taranaki Region,00027
1996,01,Northland Region,Female,10-14,08,Manawatu-Wanganui Region,00039
1996,01,Northland Region,Female,10-14,09,Wellington Region,00048
1996,01,Northland Region,Female,10-14,12,West Coast Region,..C
1996,01,Northland Region,Female,10-14,13,Canterbury Region,00024
1996,01,Northland Region,Female,10-14,14,Otago Region,00018
1996,01,Northland Region,Female,10-14,15,Southland Region,00006
1996,01,Northland Region,Female,10-14,16,Tasman Region,..C
1996,01,Northland Region,Female,10-14,17,Nelson Region,..C
1996,01,Northland Region,Female,10-14,18,Marlborough Region,..C
1996,01,Northland Region,Female,10-14,99,Area Outside Region,..C
1996,01,Northland Region,Female,15-19,,,00357
1996,01,Northland Region,Female,15-19,01,Northland Region,03273
1996,01,Northland Region,Female,15-19,02,Auckland Region,00282
1996,01,Northland Region,Female,15-19,03,Waikato Region,00087
1996,01,Northland Region,Female,15-19,04,Bay of Plenty Region,00030
1996,01,Northland Region,Female,15-19,05,Gisborne Region,00006
1996,01,Northland Region,Female,15-19,06,Hawke's Bay Region,00015
1996,01,Northland Region,Female,15-19,07,Taranaki Region,00015
1996,01,Northland Region,Female,15-19,08,Manawatu-Wanganui Region,00030
1996,01,Northland Region,Female,15-19,09,Wellington Region,00033
1996,01,Northland Region,Female,15-19,12,West Coast Region,..C
1996,01,Northland Region,Female,15-19,13,Canterbury Region,00018
1996,01,Northland Region,Female,15-19,14,Otago Region,00012
1996,01,Northland Region,Female,15-19,15,Southland Region,..C
1996,01,Northland Region,Female,15-19,16,Tasman Region,..C
1996,01,Northland Region,Female,15-19,18,Marlborough Region,..C
1996,01,Northland Region,Female,15-19,99,Area Outside Region,..C
1996,01,Northland Region,Female,20–24,,,00414
1996,01,Northland Region,Female,20–24,01,Northland Region,02379
1996,01,Northland Region,Female,20–24,02,Auckland Region,00399
1996,01,Northland Region,Female,20–24,03,Waikato Region,00111
1996,01,Northland Region,Female,20–24,04,Bay of Plenty Region,00039
1996,01,Northland Region,Female,20–24,05,Gisborne Region,..C
1996,01,Northland Region,Female,20–24,06,Hawke's Bay Region,00021
1996,01,Northland Region,Female,20–24,07,Taranaki Region,00024
1996,01,Northland Region,Female,20–24,08,Manawatu-Wanganui Region,00048
1996,01,Northland Region,Female,20–24,09,Wellington Region,00039
1996,01,Northland Region,Female,20–24,12,West Coast Region,..C
1996,01,Northland Region,Female,20–24,13,Canterbury Region,00024
1996,01,Northland Region,Female,20–24,14,Otago Region,00018
1996,01,Northland Region,Female,20–24,15,Southland Region,00006
1996,01,Northland Region,Female,20–24,16,Tasman Region,..C
1996,01,Northland Region,Female,20–24,17,Nelson Region,00006
1996,01,Northland Region,Female,20–24,18,Marlborough Region,..C
1996,01,Northland Region,Female,25–29,,,00420
1996,01,Northland Region,Female,25–29,01,Northland Region,02739
1996,01,Northland Region,Female,25–29,02,Auckland Region,00549
1996,01,Northland Region,Female,25–29,03,Waikato Region,00108
1996,01,Northland Region,Female,25–29,04,Bay of Plenty Region,00057
1996,01,Northland Region,Female,25–29,05,Gisborne Region,00012
1996,01,Northland Region,Female,25–29,06,Hawke's Bay Region,00027
1996,01,Northland Region,Female,25–29,07,Taranaki Region,00018
1996,01,Northland Region,Female,25–29,08,Manawatu-Wanganui Region,00051
1996,01,Northland Region,Female,25–29,09,Wellington Region,00066
1996,01,Northland Region,Female,25–29,12,West Coast Region,..C
1996,01,Northland Region,Female,25–29,13,Canterbury Region,00030
1996,01,Northland Region,Female,25–29,14,Otago Region,00021
1996,01,Northland Region,Female,25–29,15,Southland Region,00009
1996,01,Northland Region,Female,25–29,16,Tasman Region,00006
1996,01,Northland Region,Female,25–29,17,Nelson Region,..C
1996,01,Northland Region,Female,25–29,18,Marlborough Region,..C
1996,01,Northland Region,Female,25–29,99,Area Outside Region,..C
1996,01,Northland Region,Female,30–34,,,00408
1996,01,Northland Region,Female,30–34,01,Northland Region,03420
1996,01,Northland Region,Female,30–34,02,Auckland Region,00579
1996,01,Northland Region,Female,30–34,03,Waikato Region,00129
1996,01,Northland Region,Female,30–34,04,Bay of Plenty Region,00063
1996,01,Northland Region,Female,30–34,05,Gisborne Region,00012
1996,01,Northland Region,Female,30–34,06,Hawke's Bay Region,00018
1996,01,Northland Region,Female,30–34,07,Taranaki Region,00024
1996,01,Northland Region,Female,30–34,08,Manawatu-Wanganui Region,00039
1996,01,Northland Region,Female,30–34,09,Wellington Region,00078
1996,01,Northland Region,Female,30–34,12,West Coast Region,..C
1996,01,Northland Region,Female,30–34,13,Canterbury Region,00033
1996,01,Northland Region,Female,30–34,14,Otago Region,00018
1996,01,Northland Region,Female,30–34,15,Southland Region,00006
1996,01,Northland Region,Female,30–34,16,Tasman Region,..C
1996,01,Northland Region,Female,30–34,17,Nelson Region,..C
1996,01,Northland Region,Female,30–34,18,Marlborough Region,..C
1996,01,Northland Region,Female,35–39,,,00381
1996,01,Northland Region,Female,35–39,01,Northland Region,04011
1996,01,Northland Region,Female,35–39,02,Auckland Region,00453
1996,01,Northland Region,Female,35–39,03,Waikato Region,00135
1996,01,Northland Region,Female,35–39,04,Bay of Plenty Region,00051
1996,01,Northland Region,Female,35–39,05,Gisborne Region,00006
1996,01,Northland Region,Female,35–39,06,Hawke's Bay Region,00018
1996,01,Northland Region,Female,35–39,07,Taranaki Region,00024
1996,01,Northland Region,Female,35–39,08,Manawatu-Wanganui Region,00051
1996,01,Northland Region,Female,35–39,09,Wellington Region,00057
1996,01,Northland Region,Female,35–39,12,West Coast Region,..C
1996,01,Northland Region,Female,35–39,13,Canterbury Region,00027
1996,01,Northland Region,Female,35–39,14,Otago Region,00012
1996,01,Northland Region,Female,35–39,15,Southland Region,..C
1996,01,Northland Region,Female,35–39,16,Tasman Region,..C
1996,01,Northland Region,Female,35–39,17,Nelson Region,..C
1996,01,Northland Region,Female,40–44,,,00282
1996,01,Northland Region,Female,40–44,01,Northland Region,03699
1996,01,Northland Region,Female,40–44,02,Auckland Region,00339
1996,01,Northland Region,Female,40–44,03,Waikato Region,00081
1996,01,Northland Region,Female,40–44,04,Bay of Plenty Region,00030
1996,01,Northland Region,Female,40–44,05,Gisborne Region,00006
1996,01,Northland Region,Female,40–44,06,Hawke's Bay Region,00015
1996,01,Northland Region,Female,40–44,07,Taranaki Region,00027
1996,01,Northland Region,Female,40–44,08,Manawatu-Wanganui Region,00027
1996,01,Northland Region,Female,40–44,09,Wellington Region,00045
1996,01,Northland Region,Female,40–44,12,West Coast Region,..C
1996,01,Northland Region,Female,40–44,13,Canterbury Region,00012
1996,01,Northland Region,Female,40–44,14,Otago Region,00012
1996,01,Northland Region,Female,40–44,15,Southland Region,..C
1996,01,Northland Region,Female,40–44,16,Tasman Region,..C
1996,01,Northland Region,Female,40–44,18,Marlborough Region,..C
1996,01,Northland Region,Female,40–44,99,Area Outside Region,..C
1996,01,Northland Region,Female,45–49,,,00249
1996,01,Northland Region,Female,45–49,01,Northland Region,03537
1996,01,Northland Region,Female,45–49,02,Auckland Region,00324
1996,01,Northland Region,Female,45–49,03,Waikato Region,00063
1996,01,Northland Region,Female,45–49,04,Bay of Plenty Region,00021
1996,01,Northland Region,Female,45–49,05,Gisborne Region,00006
1996,01,Northland Region,Female,45–49,06,Hawke's Bay Region,00018
1996,01,Northland Region,Female,45–49,07,Taranaki Region,00021
1996,01,Northland Region,Female,45–49,08,Manawatu-Wanganui Region,00021
1996,01,Northland Region,Female,45–49,09,Wellington Region,00024
1996,01,Northland Region,Female,45–49,12,West Coast Region,..C
1996,01,Northland Region,Female,45–49,13,Canterbury Region,00018
1996,01,Northland Region,Female,45–49,14,Otago Region,00006
1996,01,Northland Region,Female,45–49,15,Southland Region,..C
1996,01,Northland Region,Female,45–49,16,Tasman Region,..C
1996,01,Northland Region,Female,45–49,17,Nelson Region,..C
1996,01,Northland Region,Female,45–49,18,Marlborough Region,..C
1996,01,Northland Region,Female,45–49,99,Area Outside Region,..C
1996,01,Northland Region,Female,50–54,,,00225
1996,01,Northland Region,Female,50–54,01,Northland Region,02889
1996,01,Northland Region,Female,50–54,02,Auckland Region,00327
1996,01,Northland Region,Female,50–54,03,Waikato Region,00045
1996,01,Northland Region,Female,50–54,04,Bay of Plenty Region,00030
1996,01,Northland Region,Female,50–54,05,Gisborne Region,00006
