year,rc13,rc13desc,age_grp,sex,count
1996,01,Northland Region,00–04,Female,5900
1996,01,Northland Region,00–04,Male,6230
1996,01,Northland Region,05-09,Female,6330
1996,01,Northland Region,05-09,Male,6820
1996,01,Northland Region,10-14,Female,5740
1996,01,Northland Region,10-14,Male,6180
1996,01,Northland Region,15-19,Female,4580
1996,01,Northland Region,15-19,Male,4930
1996,01,Northland Region,20–24,Female,3770
1996,01,Northland Region,20–24,Male,3760
1996,01,Northland Region,25–29,Female,4600
1996,01,Northland Region,25–29,Male,4110
1996,01,Northland Region,30–34,Female,5350
1996,01,Northland Region,30–34,Male,4820
1996,01,Northland Region,35–39,Female,5620
1996,01,Northland Region,35–39,Male,5090
1996,01,Northland Region,40–44,Female,4920
1996,01,Northland Region,40–44,Male,4970
1996,01,Northland Region,45–49,Female,4600
1996,01,Northland Region,45–49,Male,4640
1996,01,Northland Region,50–54,Female,3840
1996,01,Northland Region,50–54,Male,3760
1996,01,Northland Region,55–59,Female,3490
1996,01,Northland Region,55–59,Male,3630
1996,01,Northland Region,60–64,Female,2990
1996,01,Northland Region,60–64,Male,3050
1996,01,Northland Region,65–69,Female,2820
1996,01,Northland Region,65–69,Male,3030
1996,01,Northland Region,70–74,Female,2370
1996,01,Northland Region,70–74,Male,2290
1996,01,Northland Region,75–79,Female,1740
1996,01,Northland Region,75–79,Male,1380
1996,01,Northland Region,80–84,Female,1180
1996,01,Northland Region,80–84,Male,830
1996,01,Northland Region,85–89,Female,620
1996,01,Northland Region,85–89,Male,340
1996,01,Northland Region,90+,Female,240
1996,01,Northland Region,90+,Male,110
1996,02,Auckland Region,00–04,Female,44190
1996,02,Auckland Region,00–04,Male,46970
1996,02,Auckland Region,05-09,Female,42560
1996,02,Auckland Region,05-09,Male,44870
1996,02,Auckland Region,10-14,Female,37420
1996,02,Auckland Region,10-14,Male,39560
1996,02,Auckland Region,15-19,Female,39840
1996,02,Auckland Region,15-19,Male,41240
1996,02,Auckland Region,20–24,Female,44200
1996,02,Auckland Region,20–24,Male,43050
1996,02,Auckland Region,25–29,Female,48560
1996,02,Auckland Region,25–29,Male,45410
1996,02,Auckland Region,30–34,Female,49980
1996,02,Auckland Region,30–34,Male,48330
1996,02,Auckland Region,35–39,Female,46090
1996,02,Auckland Region,35–39,Male,44740
1996,02,Auckland Region,40–44,Female,41170
1996,02,Auckland Region,40–44,Male,39160
1996,02,Auckland Region,45–49,Female,38270
1996,02,Auckland Region,45–49,Male,37680
1996,02,Auckland Region,50–54,Female,29010
1996,02,Auckland Region,50–54,Male,28720
1996,02,Auckland Region,55–59,Female,23230
1996,02,Auckland Region,55–59,Male,23220
1996,02,Auckland Region,60–64,Female,18190
1996,02,Auckland Region,60–64,Male,17880
1996,02,Auckland Region,65–69,Female,17750
1996,02,Auckland Region,65–69,Male,16740
1996,02,Auckland Region,70–74,Female,16280
1996,02,Auckland Region,70–74,Male,13360
1996,02,Auckland Region,75–79,Female,13100
1996,02,Auckland Region,75–79,Male,8920
1996,02,Auckland Region,80–84,Female,9770
1996,02,Auckland Region,80–84,Male,5500
1996,02,Auckland Region,85–89,Female,5180
1996,02,Auckland Region,85–89,Male,2300
1996,02,Auckland Region,90+,Female,2570
1996,02,Auckland Region,90+,Male,810
1996,03,Waikato Region,00–04,Female,14530
1996,03,Waikato Region,00–04,Male,15800
1996,03,Waikato Region,05-09,Female,15150
1996,03,Waikato Region,05-09,Male,15610
1996,03,Waikato Region,10-14,Female,13710
1996,03,Waikato Region,10-14,Male,14660
1996,03,Waikato Region,15-19,Female,13330
1996,03,Waikato Region,15-19,Male,14120
1996,03,Waikato Region,20–24,Female,13310
1996,03,Waikato Region,20–24,Male,13760
1996,03,Waikato Region,25–29,Female,13460
1996,03,Waikato Region,25–29,Male,12850
1996,03,Waikato Region,30–34,Female,14050
1996,03,Waikato Region,30–34,Male,13370
1996,03,Waikato Region,35–39,Female,14170
1996,03,Waikato Region,35–39,Male,13700
1996,03,Waikato Region,40–44,Female,12390
1996,03,Waikato Region,40–44,Male,12300
1996,03,Waikato Region,45–49,Female,11410
1996,03,Waikato Region,45–49,Male,11440
1996,03,Waikato Region,50–54,Female,9080
1996,03,Waikato Region,50–54,Male,9100
1996,03,Waikato Region,55–59,Female,7840
1996,03,Waikato Region,55–59,Male,7710
1996,03,Waikato Region,60–64,Female,6620
1996,03,Waikato Region,60–64,Male,6690
1996,03,Waikato Region,65–69,Female,6310
1996,03,Waikato Region,65–69,Male,6440
1996,03,Waikato Region,70–74,Female,5530
1996,03,Waikato Region,70–74,Male,4890
1996,03,Waikato Region,75–79,Female,4260
1996,03,Waikato Region,75–79,Male,3070
1996,03,Waikato Region,80–84,Female,2940
